FID,pkey,omraade,lovlige_p_pl_kl_12,optalte_pladser_kl_12,belaegnings_pct_kl_12,lovlige_p_pl_kl_17,optalte_pladser_kl_17,belaegnings_pct_kl_17,lovlige_p_pl_kl_22,optalte_pladser_kl_22,belaegnings_pct_kl_22,mdr_aar,kategori,link,wkb_geometry
parkeringstaelling_i_zoner.1,1,1,328,315,96,328,249,76,331,220,66,20219,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/neuWhtVHli.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.2,2,1,320,370,116,320,285,89,323,199,62,20213,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/DoMOooOaMx.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.3,3,1,308,281,91,303,246,81,308,203,66,20209,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/JHtMS84o59.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.4,4,1,306,289,94,301,212,70,306,196,64,20199,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/EvUEu7RroD.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.5,5,1,303,334,110,301,281,93,308,219,71,20193,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/HcLtsr8NZT.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.83,83,5,1305,860,66,1308,633,48,1308,512,39,20189,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/49iiwbQ6Jz.pdf,"MULTIPOLYGON (((12.558612838393262 55.66507265311375, 12.561716753874679 55.66284637087197, 12.565628982019284 55.66458586221829, 12.569226179553311 55.66617927095777, 12.571525714794506 55.667248611303755, 12.571553078571815 55.6671920461473, 12.572921439785897 55.66776135645842, 12.574391875336739 55.66860618264002, 12.57667347996301 55.669816175146096, 12.576282271237641 55.67000755726702, 12.578108311642119 55.67094705315139, 12.573478713366162 55.67314823876028, 12.572777397496683 55.673545186362084, 12.572076067409238 55.67394213012446, 12.57188601037731 55.67377355851256, 12.570349650140946 55.67455032198329, 12.570094641085054 55.674394457375186, 12.571841850665132 55.67348629814297, 12.570953045386522 55.67298149467493, 12.5679419090989 55.671812053975486, 12.566138130945628 55.671090804020125, 12.565054607122702 55.67067701490238, 12.565062828226989 55.670357745924974, 12.564443742759071 55.67012579109626, 12.563388053065536 55.66973023870247, 12.563091418601443 55.66964097396052, 12.563091418601443 55.66964097396052, 12.56176554337542 55.670541473825594, 12.560662304650684 55.67011694065815, 12.558766987061077 55.66921469878667, 12.558363847568765 55.669558643450266, 12.557079126377241 55.668887901070924, 12.555960795665149 55.668370611772055, 12.556145434488428 55.66800072164186, 12.557375411067543 55.666663278504664, 12.558383506537421 55.66550531378219, 12.5582003491111 55.665420984205554, 12.558403999211517 55.66524080056812, 12.558612838393262 55.66507265311375)))"
parkeringstaelling_i_zoner.6,6,1,304,339,112,302,270,89,309,224,72,20189,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/dcuQ2aoOCy.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.7,7,1,304,284,93,301,279,93,309,219,71,20183,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/nii3Bk2dp2.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.8,8,1,303,329,109,301,269,89,308,208,68,20179,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/QnPa5JAt67.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
parkeringstaelling_i_zoner.9,9,1,301,330,110,304,259,85,306,247,81,20173,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/3ObjL5MJ5R.pdf,"MULTIPOLYGON (((12.572401111261643 55.683261909923864, 12.572344199854188 55.68325939413497, 12.571685663662954 55.68280926120319, 12.571307060061732 55.68252807964797, 12.571037796869492 55.68238665840195, 12.570764389581981 55.68232216228721, 12.570731905841791 55.682297291576866, 12.569341461399175 55.68123267919147, 12.567787262913852 55.68002795250688, 12.566409577600936 55.67892952239512, 12.566370624217862 55.67889511415934, 12.565804218930056 55.67927418612481, 12.565672854035371 55.679114781382225, 12.565620828203288 55.679051650221965, 12.564743587687891 55.678804402342294, 12.56745125890009 55.67622146528156, 12.567705769249562 55.67597865928362, 12.567851277737821 55.67587141889264, 12.568137694528897 55.67566032628501, 12.56847337851623 55.67548807291948, 12.568499507239142 55.675474665088146, 12.570327339425015 55.67453668547685, 12.570349650140946 55.67455032198329, 12.570349650140946 55.67455032198329, 12.57135146213438 55.67517245877399, 12.570890345809788 55.67542214040528, 12.571613571212348 55.675711051162864, 12.570149792978112 55.67622899699903, 12.569241829915773 55.676538842499866, 12.569398642760264 55.67660281411699, 12.570303405886726 55.676971903067425, 12.570441415419495 55.677027558754645, 12.571478995428869 55.6775724477587, 12.57206827700745 55.677810357642684, 12.572844043137117 55.678123547841885, 12.574268491369141 55.67865049847896, 12.574536318596131 55.67867567998874, 12.574804146143467 55.67870086090884, 12.5755021566424 55.67869268177443, 12.575965492915696 55.67868725030646, 12.57751996890915 55.67877858694097, 12.578933914954055 55.67891031119064, 12.579578126056514 55.67901766372179, 12.579140832209582 55.67970573392795, 12.579105806559474 55.67976084477748, 12.57927584088811 55.67980629970015, 12.579248057110947 55.67984308493648, 12.579175903124812 55.67993861521328, 12.57899324458259 55.6801465801576, 12.578853172077666 55.68026161266335, 12.578595329643152 55.68043124143819, 12.57852467415208 55.68047008380547, 12.578418448909094 55.680528480179234, 12.578046262349428 55.680678727136566, 12.578025909949892 55.68068533877647, 12.577924656763127 55.68071823160214, 12.577342904692669 55.68090435856137, 12.577316898619108 55.68090935767433, 12.576821515028685 55.68100458331504, 12.576529116126794 55.681089512243666, 12.576046752142334 55.681229615306435, 12.575331251695816 55.681474939846375, 12.575109906771347 55.681559457427895, 12.57498431820612 55.681650415264116, 12.574781714525455 55.68187532353455, 12.574607929448522 55.68216594197399, 12.574627723901958 55.68219649436756, 12.574721815892602 55.682214222860836, 12.574653186816237 55.68231539720588, 12.57451504867859 55.682706864015614, 12.574396826565529 55.68269554155132, 12.573725426960584 55.68263123742762, 12.573525504281504 55.682747224053195, 12.573040704609474 55.682969142843554, 12.572401111261643 55.683261909923864)))"
